roster_id,slot,player_id,name,position,team,injury_status,is_starter,keeper
1,1,4984,Josh Allen,QB,BUF,,1,1
1,2,8228,Jaylen Warren,RB,PIT,,1,1
1,3,5892,David Montgomery,RB,HOU,,1,1
1,4,9488,Jaxon Smith-Njigba,WR,SEA,,1,1
1,5,12514,Emeka Egbuka,WR,TB,Questionable,1,1
1,6,12506,Harold Fannin,TE,CLE,,1,1
1,7,5927,Terry McLaurin,WR,WAS,,1,1
1,8,11786,Cam Little,K,JAX,,1,0
1,9,MIN,Minnesota,DEF,MIN,,1,0
1,,10213,Tre Tucker,WR,LV,,0,0
1,,12504,Kaleb Johnson,RB,GB,,0,0
1,,12529,TreVeyon Henderson,RB,NE,Questionable,0,0
1,,3163,Jared Goff,QB,DET,,0,0
1,,5844,T.J. Hockenson,TE,MIN,,0,0
1,,8142,Alec Pierce,WR,IND,,0,0
1,,8167,Christian Watson,WR,GB,,0,0
2,1,7523,Trevor Lawrence,QB,JAX,,1,0
2,2,12490,Bhayshul Tuten,RB,JAX,Questionable,1,1
2,3,13286,Jadarian Price,RB,SEA,,1,0
2,4,9493,Puka Nacua,WR,LAR,Questionable,1,1
2,5,11632,Malik Nabers,WR,NYG,Questionable,1,1
2,6,11604,Brock Bowers,TE,LV,,1,1
2,7,8408,Jordan Mason,RB,MIN,,1,0
2,8,11792,Will Reichard,K,MIN,,1,0
2,9,LAR,Los Angeles,DEF,LAR,,1,0
2,,11564,Drake Maye,QB,NE,,0,1
2,,11576,Braelon Allen,RB,NYJ,,0,0
2,,11631,Brian Thomas,WR,JAX,,0,1
2,,12534,Kyle Monangai,RB,CHI,Questionable,0,1
2,,13413,Cyrus Allen,WR,KC,,0,0
2,,7002,Juwan Johnson,TE,NO,,0,0
2,,8121,Romeo Doubs,WR,NE,,0,0
2,,9753,Zach Charbonnet,RB,SEA,PUP,0,0
3,1,4892,Baker Mayfield,QB,TB,,1,1
3,2,12527,Ashton Jeanty,RB,LV,Questionable,1,0
3,3,7588,Javonte Williams,RB,DAL,,1,1
3,4,10229,Rashee Rice,WR,KC,,1,1
3,5,12526,Tetairoa McMillan,WR,CAR,,1,1
3,6,8130,Trey McBride,TE,ARI,,1,1
3,7,7526,Jaylen Waddle,WR,DEN,,1,1
3,8,2747,Jason Myers,K,SEA,,1,0
