roster_id,slot,player_id,name,position,team,injury_status,is_starter,keeper
1,1,4984,Josh Allen,QB,BUF,,1,1
1,2,8228,Jaylen Warren,RB,PIT,Questionable,1,1
1,3,12529,TreVeyon Henderson,RB,NE,,1,0
1,4,9488,Jaxon Smith-Njigba,WR,SEA,,1,1
1,5,12514,Emeka Egbuka,WR,TB,,1,0
1,6,10859,Sam LaPorta,TE,DET,,1,1
1,7,2449,Stefon Diggs,WR,NE,,1,0
1,8,3678,Wil Lutz,K,DEN,,1,0
1,9,NE,New England,DEF,NE,,1,0
1,,11199,Emari Demercado,RB,ARI,,0,0
1,,11655,Tyrone Tracy,RB,NYG,Questionable,0,1
1,,12506,Harold Fannin,TE,CLE,,0,0
1,,12507,Omarion Hampton,RB,LAC,IR,0,0
1,,5022,Dallas Goedert,TE,PHI,,0,0
1,,5927,Terry McLaurin,WR,WAS,Questionable,0,1
1,,7042,Tyler Bass,K,BUF,IR,0,0
1,,8123,Hassan Haskins,RB,LAC,,0,0
1,,8144,Chris Olave,WR,NO,,0,0
2,1,11564,Drake Maye,QB,NE,,1,0
2,2,9226,De'Von Achane,RB,MIA,,1,1
2,3,12512,Quinshon Judkins,RB,CLE,,1,0
2,4,9493,Puka Nacua,WR,LAR,,1,1
2,5,11631,Brian Thomas,WR,JAX,,1,1
2,6,3214,Hunter Henry,TE,NE,,1,0
2,7,4454,Kendrick Bourne,WR,SF,,1,0
2,8,11792,Will Reichard,K,MIN,,1,0
2,9,SEA,Seattle,DEF,SEA,,1,0
2,,11576,Braelon Allen,RB,NYJ,IR,0,0
2,,11604,Brock Bowers,TE,LV,Questionable,0,1
2,,11610,Malik Washington,WR,MIA,,0,0
2,,11632,Malik Nabers,WR,NYG,IR,0,1
2,,12489,RJ Harvey,RB,DEN,,0,0
2,,12490,Bhayshul Tuten,RB,JAX,,0,0
2,,3163,Jared Goff,QB,DET,,0,0
2,,9757,Kendre Miller,RB,NO,,0,0
2,,MIN,Minnesota,DEF,MIN,,0,0
3,1,5849,Kyler Murray,QB,ARI,Questionable,1,1
3,2,7588,Javonte Williams,RB,DAL,,1,0
3,3,8150,Kyren Williams,RB,LAR,,1,1
3,4,12526,Tetairoa McMillan,WR,CAR,,1,0
3,5,8126,Wan'Dale Robinson,WR,NYG,,1,0
3,6,8130,Trey McBride,TE,ARI,,1,1
3,7,5850,Josh Jacobs,RB,GB,,1,0
3,8,8259,Cameron Dicker,K,LAC,,1,0
3,9,PHI,Philadelphia,DEF,PHI,,1,0
3,,10229,Rashee Rice,WR,KC,Sus,0,1
3,,11584,Bucky Irving,RB,TB,Questionable,0,1
3,,11646,Jalen Coker,WR,CAR,IR,0,0
3,,12457,Jaydon Blue,RB,DAL,,0,0
3,,12484,Jayden Higgins,WR,HOU,,0,0
3,,4981,Calvin Ridley,WR,TEN,,0,0
3,,4983,DJ Moore,WR,CHI,,0,0
3,,6783,Jerry Jeudy,WR,CLE,,0,0
3,,7021,Rico Dowdle,RB,CAR,,0,0
4,1,4046,Patrick Mahomes,QB,KC,,1,0
4,2,9509,Bijan Robinson,RB,ATL,,1,0
4,3,12533,Jacory Croskey-Merritt,RB,WAS,,1,0
4,4,11620,Rome Odunze,WR,CHI,,1,1
4,5,6801,Tee Higgins,WR,CIN,,1,0
4,6,7002,Juwan Johnson,TE,NO,,1,0
4,7,9753,Zach Charbonnet,RB,SEA,,1,1
4,8,11789,Joshua Karty,K,LAR,,1,0
4,9,PIT,Pittsburgh,DEF,PIT,,1,0
4,,12517,Colston Loveland,TE,CHI,Questionable,0,0
4,,12530,Travis Hunter,WR,JAX,,0,0
4,,6786,CeeDee Lamb,WR,DAL,Questionable,0,1
4,,7049,Jauan Jennings,WR,SF,Questionable,0,0
4,,8205,Isiah Pacheco,RB,KC,,0,1
4,,8676,Rashid Shaheed,WR,NO,,0,0
4,,9502,Tank Dell,WR,HOU,PUP,0,1
4,,LAR,Los Angeles,DEF,LAR,,0,0
5,1,9228,Bryce Young,QB,CAR,,1,0
5,2,8151,Kenneth Walker,RB,SEA,,1,1
5,3,7543,Travis Etienne,RB,JAX,,1,0
5,4,7564,Ja'Marr Chase,WR,CIN,,1,0
5,5,11628,Marvin Harrison,WR,ARI,,1,0
5,6,9484,Tucker Kraft,TE,GB,,1,1
5,7,7526,Jaylen Waddle,WR,MIA,,1,0
5,8,12711,Tyler Loop,K,BAL,,1,0
5,9,TEN,Tennessee,DEF,TEN,,1,0
5,,11638,Ricky Pearsall,WR,SF,Questionable,0,1
5,,12474,Woody Marks,RB,HOU,,0,0
5,,12495,Ollie Gordon,RB,MIA,,0,0
5,,12518,Tyler Warren,TE,IND,,0,0
5,,4881,Lamar Jackson,QB,BAL,Questionable,0,1
5,,5892,David Montgomery,RB,DET,,0,1
5,,7569,Nico Collins,WR,HOU,,0,1
6,1,1373,Geno Smith,QB,LV,,1,0
6,2,4866,Saquon Barkley,RB,PHI,Questionable,1,0
6,3,9224,Chase Brown,RB,CIN,,1,1
6,4,11635,Ladd McConkey,WR,LAC,,1,1
6,5,5947,Jakobi Meyers,WR,LV,,1,0
6,6,5844,T.J. Hockenson,TE,MIN,,1,0
6,7,10219,Chris Rodriguez,RB,WAS,,1,0
6,8,6650,Chase McLaughlin,K,TB,,1,0
6,9,BUF,Buffalo,DEF,BUF,,1,0
6,,11565,J.J. McCarthy,QB,MIN,Out,0,0
6,,12469,Dylan Sampson,RB,CLE,,0,0
6,,12519,Luther Burden,WR,CHI,,0,0
6,,12521,Elijah Arroyo,TE,SEA,,0,0
6,,3321,Tyreek Hill,WR,MIA,IR,0,0
6,,4137,James Conner,RB,ARI,IR,0,1
6,,5995,Justice Hill,RB,BAL,,0,0
6,,6770,Joe Burrow,QB,CIN,IR,0,1
6,,7571,Rashod Bateman,WR,BAL,,0,0
7,1,3294,Dak Prescott,QB,DAL,,1,0
7,2,9221,Jahmyr Gibbs,RB,DET,,1,1
7,3,12527,Ashton Jeanty,RB,LV,,1,0
7,4,8137,George Pickens,WR,DAL,,1,0
7,5,6819,Michael Pittman,WR,IND,,1,0
7,6,2505,Darren Waller,TE,MIA,,1,0
7,7,1479,Keenan Allen,WR,LAC,,1,0
7,8,11533,Brandon Aubrey,K,DAL,,1,1
7,9,DET,Detroit,DEF,DET,,1,0
