roster_id,team_name,owner,wins,losses,ties,points_for,points_against,waiver_position,waiver_budget_used
1,Njigbas in Paris ,BG82,1,3,0,471.56,568.96,3,0
2,De'von Intervention,KingDong420,3,1,0,575.28,419.80,9,0
3,Rashee's Driving School,mdoyle37,2,2,0,473.48,522.28,4,0
4,Tittsburgh Feelers,Cillidog,3,1,0,455.26,433.90,12,0
5,K9 Unit,rippont,1,3,0,469.36,494.12,7,0
6,The Ladds,mikeryan65,1,3,0,362.64,475.18,5,0
7,Can You CeeDeez Nuts,ECast17,4,0,0,559.34,446.80,11,0
8,J. Daniels Whiskey,dealin,2,2,0,513.86,487.64,1,0
9,Mnauta,Mnauta,1,3,0,445.58,477.16,10,0
10,Amon Top of Erin,Tullis14,2,2,0,448.72,486.60,2,0
11,Harrison Butkers Kitchen ,Doctahfootball,3,1,0,483.82,393.82,8,0
12,South Beach CTE,TLops,1,3,0,423.20,475.84,6,0
