roster_id,team_name,owner,wins,losses,ties,points_for,points_against,waiver_position,waiver_budget_used,keepers
1,Team Name,calryan11,0,1,0,105.56,126.92,12,0,
2,Brendan ,BrendanCina5,0,1,0,100.34,149.46,6,0,
3,Reaganc29,Reaganc29,0,1,0,85.70,106.12,1,0,
4,CRy20,CRy20,1,0,0,123.36,114.86,10,0,
5,Barbie dream house67👛🩰,katejryann,0,1,0,101.76,117.00,9,0,
6,Gibbs and the Gooners,mikeryan65,1,0,0,149.46,100.34,11,0,
7,Kurtis200,Kurtis200,1,0,0,117.00,101.76,4,0,
8,Moore Love and Flowers ❤️💐,Swryan4,1,0,0,128.70,84.06,7,0,
9,connorhebert200,connorhebert200,0,1,0,84.06,128.70,8,0,
10,pryan2025,pryan2025,0,1,0,114.86,123.36,2,0,
11,markstamp,markstamp,1,0,0,106.12,85.70,3,0,
12,Nickryan05,Nickryan05,1,0,0,126.92,105.56,5,0,
