roster_id,slot,player_id,name,position,team,injury_status,is_starter,keeper
1,1,11564,Drake Maye,QB,NE,,1,0
1,2,4866,Saquon Barkley,RB,PHI,,1,0
1,3,8150,Kyren Williams,RB,LAR,,1,0
1,4,8146,Garrett Wilson,WR,NYJ,Questionable,1,0
1,5,5045,Courtland Sutton,WR,DEN,,1,0
1,6,8130,Trey McBride,TE,ARI,,1,0
1,7,9756,Jordan Addison,WR,MIN,,1,0
1,8,5189,Eddy Pineiro,K,SF,,1,0
1,9,SEA,Seattle,DEF,SEA,,1,0
1,,11647,Kimani Vidal,RB,LAC,,0,0
1,,12185,Spencer Shrader,K,IND,IR,0,0
1,,4035,Alvin Kamara,RB,NO,Questionable,0,0
1,,4039,Cooper Kupp,WR,SEA,Questionable,0,0
1,,4981,Calvin Ridley,WR,TEN,Out,0,0
1,,8111,Cade Otton,TE,TB,,0,0
1,,9500,Josh Downs,WR,IND,,0,0
1,,IND,Indianapolis,DEF,IND,,0,0
2,1,2307,Marcus Mariota,QB,WAS,,1,0
2,2,5850,Josh Jacobs,RB,GB,,1,0
2,3,7543,Travis Etienne,RB,JAX,,1,0
2,4,5859,A.J. Brown,WR,PHI,,1,0
2,5,12526,Tetairoa McMillan,WR,CAR,Questionable,1,0
2,6,10859,Sam LaPorta,TE,DET,,1,0
2,7,2449,Stefon Diggs,WR,NE,,1,0
2,8,12711,Tyler Loop,K,BAL,,1,0
2,9,KC,Kansas City,DEF,KC,,1,0
2,,10222,Jayden Reed,WR,GB,IR,0,0
2,,11637,Keon Coleman,WR,BUF,,0,0
2,,1339,Zach Ertz,TE,WAS,,0,0
2,,2216,Mike Evans,WR,TB,IR,0,0
2,,3451,Ka'imi Fairbairn,K,HOU,Out,0,0
2,,5995,Justice Hill,RB,BAL,,0,0
2,,8151,Kenneth Walker,RB,SEA,,0,0
2,,9228,Bryce Young,QB,CAR,,0,0
3,1,6797,Justin Herbert,QB,LAC,,1,0
3,2,6813,Jonathan Taylor,RB,IND,,1,0
3,3,7021,Rico Dowdle,RB,CAR,,1,0
3,4,5947,Jakobi Meyers,WR,JAX,,1,0
3,5,9493,Puka Nacua,WR,LAR,,1,0
3,6,7553,Kyle Pitts,TE,ATL,,1,0
3,7,8126,Wan'Dale Robinson,WR,NYG,,1,0
3,8,3678,Wil Lutz,K,DEN,,1,0
3,9,BAL,Baltimore,DEF,BAL,,1,0
3,,11655,Tyrone Tracy,RB,NYG,,0,0
3,,12508,Jaxson Dart,QB,NYG,,0,0
3,,3200,Sterling Shepard,WR,TB,,0,0
3,,4033,David Njoku,TE,CLE,,0,0
3,,4983,DJ Moore,WR,CHI,,0,0
3,,5927,Terry McLaurin,WR,WAS,Questionable,0,0
3,,7594,Chuba Hubbard,RB,CAR,,0,0
4,1,4892,Baker Mayfield,QB,TB,,1,0
4,2,8136,Rachaad White,RB,TB,,1,0
4,3,6806,J.K. Dobbins,RB,DEN,Questionable,1,0
4,4,7569,Nico Collins,WR,HOU,,1,0
4,5,7547,Amon-Ra St. Brown,WR,DET,,1,0
4,6,4217,George Kittle,TE,SF,,1,0
4,7,1479,Keenan Allen,WR,LAC,,1,0
4,8,8259,Cameron Dicker,K,LAC,,1,0
4,9,DET,Detroit,DEF,DET,,1,0
4,,11624,Xavier Worthy,WR,KC,,0,0
4,,12507,Omarion Hampton,RB,LAC,IR,0,0
4,,19,Joe Flacco,QB,CIN,,0,0
4,,7049,Jauan Jennings,WR,SF,,0,0
4,,7588,Javonte Williams,RB,DAL,,0,0
4,,8122,Zonovan Knight,RB,ARI,,0,0
