week,roster_id,opponent_roster_id,points,result
1,1,2,101.28,W
1,2,1,71.32,L
1,3,4,110.92,W
1,4,3,70.98,L
1,5,6,91.14,L
1,6,5,107.22,W
1,7,10,85.50,L
1,8,12,108.52,L
1,9,11,115.46,W
1,10,7,90.62,W
1,11,9,84.18,L
1,12,8,121.06,W
2,1,11,112.10,L
2,2,9,99.52,W
2,3,5,119.98,W
2,4,6,96.58,L
2,5,3,118.90,L
2,6,4,97.70,W
2,7,8,128.76,W
2,8,7,113.54,L
2,9,2,95.30,L
2,10,12,73.84,W
2,11,1,133.84,W
2,12,10,55.12,L
3,1,9,115.42,L
3,2,11,96.04,W
3,3,6,105.00,W
3,4,5,139.52,W
3,5,4,121.56,L
3,6,3,94.80,L
3,7,12,66.48,L
3,8,10,96.84,W
3,9,1,132.22,W
3,10,8,82.38,L
3,11,2,79.74,L
3,12,7,111.82,W
4,1,7,98.62,W
4,2,10,108.24,L
4,3,9,77.52,L
4,4,11,133.86,W
4,5,12,97.20,W
4,6,8,89.86,L
4,7,1,83.12,L
4,8,6,114.36,W
4,9,3,116.78,W
4,10,2,123.18,W
4,11,4,125.00,L
4,12,5,87.76,L
5,1,10,119.32,W
5,2,7,75.12,L
5,3,11,134.84,L
5,4,9,118.52,W
5,5,8,138.22,W
5,6,12,90.24,L
5,7,2,93.42,W
5,8,5,77.28,L
5,9,4,103.14,L
5,10,1,102.26,L
5,11,3,135.32,W
5,12,6,101.62,W
6,1,4,97.94,W
6,2,3,109.86,L
6,3,2,112.16,W
6,4,1,88.14,L
6,5,10,76.96,L
6,6,7,135.34,W
6,7,6,68.42,L
6,8,11,117.24,W
6,9,12,85.12,W
6,10,5,106.24,W
6,11,8,109.62,L
6,12,9,76.70,L
7,1,3,117.98,W
7,2,4,90.92,W
7,3,1,115.50,L
7,4,2,71.52,L
7,5,7,114.06,W
7,6,10,145.64,W
7,7,5,74.94,L
7,8,9,130.36,W
7,9,8,72.40,L
7,10,6,127.78,L
7,11,12,113.74,W
7,12,11,99.16,L
8,1,6,115.18,W
8,2,5,89.52,L
8,3,12,100.88,L
8,4,8,112.18,W
8,5,2,97.08,W
8,6,1,96.80,L
8,7,11,108.28,L
8,8,4,98.92,L
8,9,10,102.00,W
8,10,9,72.82,L
8,11,7,143.12,W
8,12,3,114.72,W
9,1,5,88.56,L
9,2,6,59.66,L
9,3,8,85.50,L
9,4,12,98.30,L
9,5,1,109.92,W
9,6,2,121.12,W
9,7,9,77.28,L
9,8,3,150.40,W
9,9,7,96.86,W
9,10,11,92.24,W
9,11,10,52.70,L
9,12,4,122.02,W
10,1,8,107.20,W
10,2,12,110.72,W
10,3,10,122.30,W
10,4,7,113.22,W
10,5,9,96.60,W
10,6,11,141.22,W
10,7,4,101.90,L
10,8,1,102.12,L
10,9,5,75.64,L
10,10,3,115.90,L
10,11,6,93.12,L
10,12,2,95.34,L
11,1,12,101.84,L
11,2,8,102.22,L
11,3,7,90.44,W
11,4,10,100.42,L
11,5,11,95.50,W
11,6,9,109.90,W
11,7,3,45.70,L
11,8,2,112.72,W
11,9,6,102.82,L
11,10,4,103.30,W
11,11,5,77.80,L
11,12,1,130.08,W
12,1,2,71.86,L
12,2,1,101.16,W
12,3,4,126.24,W
12,4,3,92.64,L
12,5,6,90.70,L
12,6,5,166.62,W
12,7,10,76.06,L
12,8,12,97.68,W
12,9,11,96.12,L
12,10,7,138.62,W
12,11,9,128.66,W
12,12,8,72.32,L
13,1,11,89.80,L
13,2,9,62.20,W
13,3,5,76.94,L
13,4,6,66.96,L
13,5,3,91.40,W
13,6,4,86.36,W
13,7,8,90.64,L
13,8,7,97.04,W
13,9,2,51.04,L
13,10,12,100.82,W
13,11,1,91.14,W
13,12,10,51.84,L
