roster_id,team_name,owner,wins,losses,ties,points_for,points_against,waiver_position,waiver_budget_used,keepers
1,Famous Shameless Jameises,calryan11,7,3,0,1073.60,1035.24,7,0,
2,Brendan ,BrendanCina5,4,6,0,910.92,990.14,1,0,
3,Reaganc29,Reaganc29,5,5,0,1084.60,1145.64,9,0,
4,CRy20,CRy20,5,5,0,1042.82,1070.02,2,0,
5,katejryann,katejryann,6,4,0,1061.64,966.66,6,0,
6,mikeryan65,mikeryan65,6,4,0,1119.94,972.86,5,0,
7,Kurtis200,Kurtis200,2,8,0,888.10,1092.32,12,0,
8,Swryan4,Swryan4,5,5,0,1109.58,1047.18,11,0,
9,connorhebert200,connorhebert200,6,4,0,994.92,948.92,3,0,
10,pryan2025,pryan2025,5,5,0,987.26,964.62,10,0,
11,markstamp,markstamp,4,6,0,1070.38,1150.44,4,0,
12,Nickryan05,Nickryan05,5,5,0,985.32,945.04,8,0,
