week,roster_id,opponent_roster_id,points,result
1,1,12,0.00,
1,2,6,0.00,
1,3,11,0.00,
1,4,10,0.00,
1,5,7,0.00,
1,6,2,0.00,
1,7,5,0.00,
1,8,9,0.00,
1,9,8,0.00,
1,10,4,0.00,
1,11,3,0.00,
1,12,1,0.00,
2,1,8,0.00,
2,2,11,0.00,
2,3,10,0.00,
2,4,12,0.00,
2,5,6,0.00,
2,6,5,0.00,
2,7,9,0.00,
2,8,1,0.00,
2,9,7,0.00,
2,10,3,0.00,
2,11,2,0.00,
2,12,4,0.00,
3,1,4,0.00,
3,2,10,0.00,
3,3,12,0.00,
3,4,1,0.00,
3,5,11,0.00,
3,6,9,0.00,
3,7,8,0.00,
3,8,7,0.00,
3,9,6,0.00,
3,10,2,0.00,
3,11,5,0.00,
3,12,3,0.00,
